Nama File,Hasil OCR,Kategori,Method
Shopee_11,"15:56 (6
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp35.548
Waktu Selesai 26-10-2025 23:45
PPSA9584145471158437965
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
Loose Leaf Isi Kertas File Binder
Joyko Bergaris
1l 86
Salin
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya",Shopping,E-WALLET
Shopee_12,"15:57
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Metode Pembayaran
Waktu Selesai 02-10-2025 12:26
PPSA2839003519816258826
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
-Rp9.400
Nama Penerbit
ShopeePay
Berhasil
Order #1
Softcase Banyak cherry Samsung
pola yang jelas Transparan Anti
slip asli A02 03S A04S A04E
A05S A06 A10S A11 12 13 14
A15 A16 F15 A30 A20S A22 A23
l 86
Salin",Shopping,E-WALLET
Shopee_13,"16.14
Bayar Ke
Transaksi SN
Rincian Pembayaran
S Shopee Marketplace
Rincian Pesanan
-Rp26.484
Waktu Selesai 01-09-2025 21:49
PPSA3767989473489831506
Metode Pembayaran
Saldo Shopee Pay
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Order #1
Berhasil
Ketoconazole Cream 2% 10gr /
Infeksi Jamur / Jamur Kulit
(90
Salin
O Shopee Pay telah berizin dan diawasi oleh Bank Indonesia.
Cek Selengkapnya",Shopping,E-WALLET
Shopee_14,"16.14
Bayar Ke
S
Shopee
Transaksi SN
Rincian Pembayaran
Rincian Pesanan
Order SN
ATKAHRaBhn2tC
-Rp62.390
Waktu Selesai 08-05-2025 13:02
113294293483979261
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Order #1
Berhasil
PROMO!! KOREAN CARTOON
GLITER GRIPTOK PHONE
(90
Salin",Shopping,E-WALLET
Shopee_15,"< Rincian Pembayaran
Bayar Ke
Shopee
Transaksi SN
Rincian Pesanan
AT7XM3ahqUWeP
Order SN
Waktu Selesai 17-01-2025 14:21
164048920266777989
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
-Rp4.399
Nama Penerbit
ShopeePay
Berhasil
Salin",Shopping,E-WALLET
Shopee_16,"< Rincian Pembayaran
Bayar Ke
ShopeeFood
Transaksi SN
Rincian Pesanan
Order SN
ATQA1m7ykx4kT
-Rp13.000
Waktu Selesai 02-11-2025 16:58
164773504332584214
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
ShopeePay
BerhasiL
Salin",Food and Beverages,E-WALLET
Shopee_17,"< Rincian Pembayaran
Bayar Ke
S Shopee
Transaksi SN
Rincian Pesanan
Order SN
ATDXe4gh6BnVK
Waktu Selesai 23-02-2025 12:51
-Rp 18.100
168062491551712973
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
ShopeePay
Berhasil
Salin",Shopping,E-WALLET
Shopee_18,"15:57
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp91.472
Waktu Selesai 01-10-2025 20:15
PPSA1895216198256488624
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
Manicure Pedicure Set 4 in1
ISI 4pcs Alat Stainless Gunting
Potong Kuku Set Korek Kuping
Pinset
4l86
Salin",Shopping,E-WALLET
Shopee_19,"16.15
Bayar Ke
S Shopee
Order SN
Rincian Pembayaran
Rincian Pesanan
Transaksi SN
AT36DsAGGgEWb
-Rp40.900
Waktu Selesai 16-11-2024 13:43
142545318370637282
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Order #1
Berhasil
l90
CELANA PANJANG FLANEL (PILIH
MOTIF)
Salin",Shopping,E-WALLET
Shopee_20,"16.14
Bayar Ke
S
Shopee
Transaksi SN
Rincian Pesanan
Order SN
Rincian Pembayaran
ATJjbrPv7rDRV
-Rp94.968
Waktu Selesai 27-12-2024 18:34
162095654918884431
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Order #1
Berhasil
l90
ANTI NODA CASE IPHONE 6 6+7
87+ 8+ X/XS XSMAX XR 11
Salin",Shopping,E-WALLET
Shopee_21,"15:57 E
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Metode Pembayaran
Waktu Selesai 02-10-2025 12:32
PPSA5023053934370258792
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
-Rp8.899
Nama Penerbit
ShopeePay
Berhasil
Order #1
Softcase Pita busur Samsung
pola yang jelas Transparan Anti
slip asli A02 03S A04S A04E
A05S A06 A10S A11 12 13 14
A15 A16 F15 A30 A20S A22 A23
l l 86
Salin",Shopping,E-WALLET
Shopee_22,"16.14
Bayar Ke
Transaksi SN
S Shopee Marketplace
Rincian Pesanan
Rincian Pembayaran
-Rp34.624
PPSA9625652942359001394
Metode Pembayaran
ShopeePay
Waktu Selesai 01-11-2025 19:05
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Order #1
Berhasil
Order #2
POTECH Gantungan Baju9 in 1
magic hanger / Gantungan
Serbaguna Multifungsi
(90
Salin",Shopping,E-WALLET
Shopee_23,"15:57 6
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Ry43.550
Waktu Selesai 01-10-2025 09:27
PPSA11435144373054309092
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
V Berhasil
Order #1
paperbag Polos Uk 20x25x8cm-
paper bag - tas kertas - tas
souvenir
l 9.1l 86
Salin
D ShoneePav telah herizin dan diawasi oleh Bank Indonesia Cek",Shopping,E-WALLET
Shopee_24,"15:57 D
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Metode Pembayaran
Waktu Selesai 01-10-2025 09:28
PPSA11483367753546091321
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
-Ro4.700
Nama Penerbit
ShopeePay
Berhasil
Order #1
[MILOLI] 50Lembar MEMO
NOTES DAILY CUTE CAPYBARA
Note Memo Diary Lucu Paper
Notepad - C0080
l 9.1l 86
Salin",Shopping,E-WALLET
Shopee_25,"15:57 G
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Rincian Pesanan
Shopee Marketplace
Rp31.790
PPSA15143220027721104971
Metode Pembayaran
Waktu Selesai 25-09-2025 10:34
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Order #1
Berhasil
toys
LAKOE 3d puzzle kayu mainan
edukasi anak lucu wooden puzzle
86
Salin
D ShoneePav telah herizin dan diawasi oleh Bank Indonesia. Cek",Shopping,E-WALLET
Shopee_26,"15:57 6
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp22.977
Waktu Selesai 18-09-2025 11:29
PPSA2380152119781905770
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
ShopeePay
Berhasil
Order #1
Bantex Transparent ID Card
Holder Lanyard Portrait #8868
86
Salin
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya",Shopping,E-WALLET
Shopee_27,"15:57 E
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp23.525
Waktu Selesai 13-09-2025 20:24
PPSA12491615745789732623
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
NPURE Toner Cica Acne Toner
30ml / Acne Toner / Toner Kulit
Jerawat Berminyak- Travel
Size Acid Berjerawat Hydrating
Mencerahkan Wajah Kotoran
l 9.1l 86
Salin",Shopping,E-WALLET
Shopee_28,"15:57 6
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
-Rp122.196
Waktu Selesai 17-09-2025 23:33
PPSA9128540569717874158
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
NUVO Family Sabun Mandi
Batang 72gr All Varian
al86
Salin
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya",Shopping,E-WALLET
Shopee_29,"15:57 6
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Food Buyer
Rincian Pesanan
Rp17.000
Waktu Selesai 16-09-2025 14:32
PPSA16486910674956944556
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Berhasil
Nama Penerbit
ShopeePay
9.l 86
Salin
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya
*Biaya (Jika Ada) Termasuk PPN
O Kamu bisa melihat riwayat dana masuk/dana keluar untuk
saldo ShopeePay-mu di sini.",Food and Beverages,E-WALLET
Shopee_30,"15:57
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp14.291
Waktu Selesai 09-09-2025 16:11
PPSA738881149046877975
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
2PCS / SET JEPIT RAMBUT
ANAK MODEL KUPU KUPU
KOREAN STYLE/ JEPITAN
AKSESORIS RAMBUT LUCU
ANAK
l 9.1l 86
Salin",Shopping,E-WALLET
Shopee_31,"10:09
<Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp35.979
PPSA8733065650658257049
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Waktu Selesai 10-10-2025 23:36
Nama Penerbit
ShopeePay
Berhasil
Order #1
Safiya Chiaseed Organik 250
Gram Chia Seed Detox Premium
aa L2 94%
C
Salin",Shopping,E-WALLET
Shopee_32,"10:09
<Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
-Rp77.550
PPSA12339294340045565433
Metode Pembayaran
Waktu Selesai 10-10-2025 17:42
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
ERHA Twin Flame Acneact BHA
& Sulphur Acne Spot Gel 10g-
Bundle Obat Totol Jerawat
aa L2 94%
C
Salin",Shopping,E-WALLET
Shopee_33,"10:09
<Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
-Rp186.617
PPSA9028312865221552521
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Waktu Selesai 10-10-2025 17:41
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
[6in1] CBD Keratin Pro / Color
Shield / Collagen Repair + Figo
Hair Perfume Aqua Glow / Fairy
aa L2 94%
C
Salin",Shopping,E-WALLET
Shopee_34,"10:09
<Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
-Rp39.048
PPSA5045762477808027305
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Waktu Selesai 10-10-2025 17:40
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
aa L2 94%
Degirol Hisap 0.25 mg 10 Tablet
Salin",Shopping,E-WALLET
Shopee_35,"10:09
<Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Food Buyer
Rincian Pesanan
Metode Pembayaran
PPSA12379490912921582733
Saldo ShopeePay
Rp5.000
Waktu Selesai 27-09-2025 20:32
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Berhasil
ShopeePay
aa L2 94%
Salin
O Shopee Pay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya
O Kamu bisa melihat riwayat dana masuk/dana keluar untuk
saldo ShopeePay-mu di sini.",Food and Beverages,E-WALLET
Shopee_36,"10:09 9
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Food Buyer
Rincian Pesanan
Rp43.000
PPSA7654777475543920043
Metode Pembayaran
Waktu Selesai 25-08-2025 17:54
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
Berhasil
ShopeePay
aa L2 94%
Salin
O Shopee Pay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya
O Kamu bisa melihat riwayat dana masuk/dana keluar untuk
saldo ShopeePay-mu di sini.",Food and Beverages,E-WALLET
Shopee_37,"10:10 9
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp81.085
PPSA10437378362846037581
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Waktu Selesai 08-08-2025 00:44
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
Glad2Glow Perfect Cover
Cushion Foundation Waterproof
Make Up Setting Concealer BB
aa L2 94%
C
Salin",Shopping,E-WALLET
Shopee_38,"10:10 9
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp86.593
PPSA4951094819898356233
Metode Pembayaran
Waktu Selesai 08-08-2025 00:16
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
aa L2 94%
(10 PCS) Plastik Goodie Bag
Motif Karakter Kecil | Kemasan
Plastik Karakter Souvenir |
Salin",Shopping,E-WALLET
Shopee_39,"10:10 9
< Rincian Pembayaran
Bayar Ke
Shopee
Transaksi SN
Rincian Pesanan
Order SN
ATN31an2XUfos
Rp22.783
117946859147208729
Waktu Selesai 06-06-2025 21:17
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
|||
Berhasil
aa L2 94%
Salin",Shopping,E-WALLET
Shopee_40,"10:10 9
< Rincian Pembayaran
Bayar Ke
Shopee
Transaksi SN
Rincian Pesanan
Order SN
ATA1a5spEjNLd
Rp119.900
Waktu Selesai 06-06-2025 21:15
132973132507281841
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
|||
Berhasil
. 94%
Salin",Shopping,E-WALLET
Shopee_41,"10:10 9
< Rincian Pembayaran
Bayar Ke
Shopee
Rincian Pesanan
Order SN
Transaksi SN
AT79mDy 3wsXhG
-Rp107.980
123148249797863623
Waktu Selesai 09-01-2025 22:13
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
|||
Berhasil
Salin",Shopping,E-WALLET
Shopee_42,"10:11
< Rincian Pembayaran
Bayar Ke
Shopee
Transaksi SN
Rincian Pesanan
Order SN
ATKCBuEgk3k1V
Rp75.200
128228360898952565
Waktu Selesai 09-01-2025 17:40
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
|||
Berhasil
Salin",Shopping,E-WALLET
Shopee_43,"10:11
< Rincian Pembayaran
Bayar Ke
Shopee
Transaksi SN
Rincian Pesanan
Order SN
ATiy9ZqBnn1 Fi
-Rp139.851
137374753613160903
Waktu Selesai 01-01-2025 21:54
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
|||
Berhasil
Salin",Shopping,E-WALLET
Shopee_44,"8:15
<Rincian Pembayaran
Bayar Ke
S Shopee Food Buyer
Transaksi SN
Rincian Pesanan
-Rp229.550
PPSA7300788202310597618
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Waktu Selesai 08-09-2025 15:27
Nama Penerbit
ShopeePay
Berhasil
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya
*Biaya (Jika Ada) Termasuk PPN
O Kamu bisa melihat riwayat dana masuk/dana keluar untuk saldo
ShopeePay-mu di sini.
PT Airpay International Indonesia
0
Yl52%
Sopo Del Office Tower & Lifestyle, Lantai 11,
Jalan Mega Kuningan BaratII Lot 10.1-6
Vawacan Mona Kiuninaan CotiohuAi
Salin",Shopping,E-WALLET
Shopee_45,"8:14 & 9
<Rincian Pembayaran
Bayar Ke
S Shopee Food Buyer
Transaksi SN
Rincian Pesanan
Metode Pembayaran
PPSA15971743759327284759
Saldo ShopeePay
-Rp55.500
Waktu Selesai 20-10-2025 18:50
Nama Pengakuisisi
ShopeePay
Nama Penerbit
ShopeePay
Berhasil
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya
*Biaya (Jika Ada) Termasuk PPN
Yl 53%
O Kamu bisa melihat riwayat dana masuk/dana keluar untuk saldo
ShopeePay-mu di sini.
PT Airpay International Indonesia
Sopo Del Office Tower & Lifestyle, Lantai 11,
Jalan Mega Kuningan BaratII Lot 10.1-6
Salin
Kawscan Mana Vininaon Catiahudi",Food and Beverages,E-WALLET
Shopee_46,"8:14 & 9
<Rincian Pembayaran
Bayar Ke
Transaksi SN
S Shopee Marketplace
Rincian Pesanan
Metode Pembayaran
PPSA9866637604386974761
Saldo ShopeePay
Waktu Selesai 10-10-2025 12:34
Nama Pengakuisisi
ShopeePay
-Rp89.100
Nama Penerbit
ShopeePay
Berhasil
Order #1
Isa Top Polkado Shirt Shortsleeve
Woman Puff Fitted Shirt/ Atasan
Polkadot Lengan Pendek Wanita -
Eleonor
Y.l 53%
Salin
ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya",Shopping,E-WALLET
Shopee_47,"8:08 9
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
PPSA5383377741488347343
Metode Pembayaran
-Rp132.420
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Waktu Selesai 09-11-2025 20:36
Nama Penerbit
ShopeePay
Order #1
Berhasil
00
BEST SELLER TONIK RONTOK]
ERHAIR HairGrow Tonic with Kopexil
- Tonic Keratin & Biotin Rambut
Mengurangi Rontok Menjaga
Kesehatan Kulit Kepala dan
Menguatkan Akar
l ll 54%
Salin",Shopping,E-WALLET
Shopee_48,"8:14 9
<Rincian Pembayaran
Bayar Ke
S Shopee Food Buyer
Transaksi SN
Rincian Pesanan
-Rp109.100
PPSA11307191409289298254
Metode Pembayaran
Waktu Selesai 29-10-2025 21:01
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
ShopeePay
Berhasil
Yl 53%
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya
*Biaya (Jika Ada) Termasuk PPN
O Kamu bisa melihat riwayat dana masuk/dana keluar untuk saldo
ShopeePay-mu di sini.
PT Airpay International Indonesia
Salin
Sopo Del Office Tower & Lifestyle, Lantai 11,
Jalan Mega Kuningan BaratII Lot 10.1-6
Vawcon Mona Vuninaon Cotiahudi",Food and Beverages,E-WALLET
Shopee_49,"9:36 L 00:23
( Rincian Pembayaran
Bayar Ke
Bonus
-Rp 13.000
Waktu Selesai 19-11-2025 19:55
QRIS IDM TVRY MT HARYONO
Klaim dari Aplikasi ShopeePay >
Lihat Bukti Transaksi yang Asli
Promo Shopee
Promo ShopeePay
Berhasil
Rincian Pesanan
Transaksi SN
Order SN
ATdMk6Bt9jahK
Bonus Reward
Salin
# Klaim dari Aplikasi ShopeePay",Shopping,QRIS
Shopee_50,"10:07 L 31:54
( Rincian Pembayaran
Bayar Ke
Bonus
-Rp33.700
QRIS IDM TVRY MT HARYONO
Waktu Selesai 18-11-202517:37
Lihat Bukti Transaksi yang Asli
Promo Shopee
Klaim dari Aplikasi ShopeePay >
Promo ShopeePay
Transaksi SN
Berhasil
Rincian Pesanan
Order SN
ATeeX7ewSVhie
B 64
Bonus Reward
Salin
# Klaim dari Aplikasi ShopeePay",Shopping,QRIS
